1.0,2050
2.0,18
3.0,29857
4.0,162
5.0,4351
6.0,5502
7.0,7816
8.0,3339
9.0,5018
10.0,11270
11.0,868
12.0,7766
13.0,25523
14.0,1701
15.0,5524
16.0,22024
17.0,946
18.0,580
19.0,3623
20.0,1691
21.0,438
22.0,1103
23.0,57
24.0,164
25.0,32
26.0,1716
27.0,1899
28.0,87
29.0,1152
30.0,43
31.0,67
32.0,250
33.0,986
34.0,987
35.0,393
36.0,23
37.0,26
38.0,27287
39.0,6835
40.0,3791
41.0,3971
42.0,7658
43.0,1486
44.0,3362
45.0,731
46.0,653
47.0,873
48.0,566
49.0,5379
50.0,50
51.0,893
52.0,1086
53.0,16795
54.0,1606
55.0,119
56.0,1206
57.0,767
58.0,81
59.0,75
60.0,32
61.0,24
62.0,731
63.0,38
64.0,14
65.0,85
66.0,1931
67.0,1642
68.0,1039
69.0,404
70.0,2988
71.0,620
