TIMESTAMP,COUNT
2015-06-26 09:06:46,1
2015-06-26 13:44:00,1
2015-06-26 13:45:00,1
2015-06-26 14:57:00,1
2015-06-26 15:31:49,1
2015-06-26 16:37:26,2
2015-06-26 16:45:00,2
2015-06-26 17:20:16,1
2015-06-26 18:59:18,1
2015-06-26 22:08:50,2
2015-06-27 01:58:00,1
2015-06-27 03:21:54,1
2015-06-27 05:18:16,2
2015-06-27 06:07:23,1
2015-06-27 06:37:00,2
2015-06-27 06:50:24,1
2015-06-27 07:06:00,2
2015-06-27 07:39:38,4
2015-06-27 07:45:57,4
2015-06-27 08:11:00,3
2015-06-27 08:15:00,9
2015-06-27 08:30:00,7
2015-06-27 08:45:00,5
2015-06-27 09:00:00,6
2015-06-27 09:15:56,5
2015-06-27 09:30:00,8
2015-06-27 09:45:00,11
2015-06-27 10:00:00,4
2015-06-27 10:16:07,3
2015-06-27 10:36:58,6
2015-06-27 10:45:00,14
2015-06-27 11:00:00,15
2015-06-27 11:15:00,17
2015-06-27 11:30:00,12
2015-06-27 11:45:00,10
2015-06-27 12:00:00,10
2015-06-27 12:15:00,9
2015-06-27 12:30:39,11
2015-06-27 12:45:27,17
2015-06-27 13:00:00,10
2015-06-27 13:15:05,13
2015-06-27 13:30:00,16
2015-06-27 13:45:00,10
2015-06-27 14:00:00,11
2015-06-27 14:15:00,11
2015-06-27 14:30:00,11
2015-06-27 14:45:00,21
2015-06-27 15:00:00,18
2015-06-27 15:15:00,24
2015-06-27 15:30:00,31
2015-06-27 15:45:00,41
2015-06-27 16:00:00,500
2015-06-27 16:15:00,811
2015-06-27 16:30:00,736
2015-06-27 16:45:00,752
2015-06-27 17:00:00,798
2015-06-27 17:15:00,831
2015-06-27 17:30:00,838
2015-06-27 17:45:00,822
2015-06-27 18:00:00,876
2015-06-27 18:15:00,881
2015-06-27 18:30:00,879
2015-06-27 18:45:00,866
2015-06-27 19:00:00,875
2015-06-27 19:15:00,839
2015-06-27 19:30:00,868
2015-06-27 19:45:00,897
2015-06-27 20:00:00,920
2015-06-27 20:15:00,934
2015-06-27 20:30:00,896
2015-06-27 20:45:00,932
2015-06-27 21:00:00,973
2015-06-27 21:15:00,997
2015-06-27 21:30:00,1009
2015-06-27 21:45:00,1026
2015-06-27 22:00:00,1014
2015-06-27 22:15:00,1024
2015-06-27 22:30:00,1015
2015-06-27 22:45:00,1030
2015-06-27 23:00:00,1042
2015-06-27 23:15:00,1074
2015-06-27 23:30:00,1078
2015-06-27 23:45:00,1065
2015-06-28 00:00:00,1120
2015-06-28 00:15:00,1132
2015-06-28 00:30:00,1124
2015-06-28 00:45:00,1129
2015-06-28 01:00:00,1146
2015-06-28 01:15:00,1144
2015-06-28 01:30:00,1126
2015-06-28 01:45:00,1089
2015-06-28 02:00:00,1072
2015-06-28 02:15:00,1055
2015-06-28 02:30:00,1015
2015-06-28 02:45:00,1001
2015-06-28 03:00:00,975
2015-06-28 03:15:00,950
2015-06-28 03:30:00,937
2015-06-28 03:45:00,907
2015-06-28 04:00:00,908
2015-06-28 04:15:00,906
2015-06-28 04:30:00,894
2015-06-28 04:45:00,889
2015-06-28 05:00:00,876
2015-06-28 05:15:00,875
2015-06-28 05:30:00,870
2015-06-28 05:45:00,853
2015-06-28 06:00:00,845
2015-06-28 06:15:00,842
2015-06-28 06:30:00,843
2015-06-28 06:45:00,837
2015-06-28 07:00:00,838
2015-06-28 07:15:00,837
2015-06-28 07:30:00,834
2015-06-28 07:45:00,841
2015-06-28 08:00:00,850
2015-06-28 08:15:00,841
2015-06-28 08:30:00,850
2015-06-28 08:45:00,855
2015-06-28 09:00:00,875
2015-06-28 09:15:00,897
2015-06-28 09:30:00,889
2015-06-28 09:45:00,939
2015-06-28 10:00:00,925
2015-06-28 10:15:00,925
2015-06-28 10:30:00,915
2015-06-28 10:45:00,946
2015-06-28 11:00:00,944
2015-06-28 11:15:00,964
2015-06-28 11:30:00,975
2015-06-28 11:45:00,987
2015-06-28 12:00:00,983
2015-06-28 12:15:00,978
2015-06-28 12:30:00,971
2015-06-28 12:45:00,972
2015-06-28 13:00:00,1021
2015-06-28 13:15:00,1039
2015-06-28 13:30:00,1065
2015-06-28 13:45:00,1098
2015-06-28 14:00:00,1106
2015-06-28 14:15:00,1089
2015-06-28 14:30:00,1141
2015-06-28 14:45:00,1155
2015-06-28 15:00:00,1100
2015-06-28 15:15:00,1108
2015-06-28 15:30:00,1126
2015-06-28 15:45:00,1132
2015-06-28 16:00:00,1180
2015-06-28 16:15:00,1286
2015-06-28 16:30:00,1349
2015-06-28 16:45:00,1358
2015-06-28 17:00:00,1339
2015-06-28 17:15:00,1383
2015-06-28 17:30:00,1445
2015-06-28 17:45:00,1475
2015-06-28 18:00:00,1502
2015-06-28 18:15:00,1511
2015-06-28 18:30:00,1517
2015-06-28 18:45:00,1558
2015-06-28 19:00:00,1605
2015-06-28 19:15:00,1650
2015-06-28 19:30:00,1688
2015-06-28 19:45:00,1783
2015-06-28 20:00:00,1769
2015-06-28 20:15:00,1801
2015-06-28 20:30:00,1857
2015-06-28 20:45:00,1834
2015-06-28 21:00:00,1876
2015-06-28 21:15:00,1853
2015-06-28 21:30:00,1893
2015-06-28 21:45:00,1866
2015-06-28 22:00:00,1759
2015-06-28 22:15:00,1519
2015-06-28 22:30:00,1258
2015-06-28 22:45:00,1255
2015-06-28 23:00:00,1529
2015-06-28 23:15:00,1521
2015-06-28 23:30:00,1549
2015-06-28 23:45:00,1573
2015-06-29 00:00:00,1740
2015-06-29 00:15:00,1783
2015-06-29 00:30:00,1755
2015-06-29 00:45:00,1703
2015-06-29 01:00:00,1652
2015-06-29 01:15:00,1611
2015-06-29 01:30:00,1556
2015-06-29 01:45:00,1517
2015-06-29 02:00:00,1467
2015-06-29 02:15:00,1438
2015-06-29 02:30:00,1403
2015-06-29 02:45:00,1382
2015-06-29 03:00:00,1338
2015-06-29 03:15:00,1304
2015-06-29 03:30:00,1285
2015-06-29 03:45:00,1268
2015-06-29 04:00:00,1249
2015-06-29 04:15:00,1254
2015-06-29 04:30:00,1235
2015-06-29 04:45:00,1227
2015-06-29 05:00:00,1220
2015-06-29 05:15:00,1186
2015-06-29 05:30:00,1167
2015-06-29 05:45:00,1168
2015-06-29 06:00:00,1152
2015-06-29 06:15:00,1141
2015-06-29 06:30:00,1138
2015-06-29 06:45:00,1134
2015-06-29 07:00:00,1124
2015-06-29 07:15:00,1126
2015-06-29 07:30:00,1136
2015-06-29 07:45:00,1128
2015-06-29 08:00:00,1124
2015-06-29 08:15:00,1131
2015-06-29 08:30:00,1125
2015-06-29 08:45:00,1158
2015-06-29 09:00:00,1177
2015-06-29 09:15:00,1173
2015-06-29 09:30:00,1170
2015-06-29 09:45:00,1182
2015-06-29 10:00:00,1198
2015-06-29 10:15:00,1195
2015-06-29 10:30:00,1207
2015-06-29 10:45:00,1205
2015-06-29 11:00:00,1211
2015-06-29 11:15:00,1175
2015-06-29 11:30:00,1213
2015-06-29 11:45:00,1196
2015-06-29 12:00:00,1194
2015-06-29 12:15:00,1201
2015-06-29 12:30:00,1202
2015-06-29 12:45:00,1181
2015-06-29 13:00:00,1166
2015-06-29 13:15:00,1203
2015-06-29 13:30:00,1237
2015-06-29 13:45:00,1280
2015-06-29 14:00:00,1310
2015-06-29 14:15:00,1309
2015-06-29 14:30:00,1351
2015-06-29 14:45:00,1382
2015-06-29 15:00:00,1437
2015-06-29 15:15:00,1432
2015-06-29 15:30:00,1470
2015-06-29 15:45:00,1491
2015-06-29 16:00:00,1544
2015-06-29 16:15:00,1516
2015-06-29 16:30:00,1488
2015-06-29 16:45:00,1494
2015-06-29 17:00:00,1585
2015-06-29 17:15:00,1613
2015-06-29 17:30:00,1686
2015-06-29 17:45:00,1676
2015-06-29 18:00:00,1694
2015-06-29 18:15:00,1674
2015-06-29 18:30:00,1693
2015-06-29 18:45:00,1699
2015-06-29 19:00:00,1708
2015-06-29 19:15:00,1725
2015-06-29 19:30:00,1730
2015-06-29 19:45:00,1753
2015-06-29 20:00:00,1814
2015-06-29 20:15:00,1842
2015-06-29 20:30:00,1904
2015-06-29 20:45:00,1952
2015-06-29 21:00:00,1896
2015-06-29 21:15:00,1851
2015-06-29 21:30:00,1807
2015-06-29 21:45:00,1874
2015-06-29 22:00:00,1893
2015-06-29 22:15:00,1860
2015-06-29 22:30:00,1804
2015-06-29 22:45:00,1778
2015-06-29 23:00:00,1750
2015-06-29 23:15:00,1820
2015-06-29 23:30:00,1916
2015-06-29 23:45:00,2019
2015-06-30 00:00:00,2017
2015-06-30 00:15:00,2034
2015-06-30 00:30:00,2017
2015-06-30 00:45:00,1997
