POLYGON,HOUR,RMSE,RSQUARED,SMAPE,name
2,32.0,40.079028430034064,0.5127285145424914,38.40021351701636,Bus/Taxi
2,24.0,39.62210827770804,0.570821186629629,43.13429138706986,Bus/Taxi
2,16.0,36.58923213627975,0.6785103878030898,49.75425277336652,Bus/Taxi
2,12.0,38.510559741279955,0.5484658256963952,61.20371836214268,Bus/Taxi
2,8.0,35.98994569912378,0.5734200775352294,73.91070085638147,Bus/Taxi
2,4.0,39.547337627806584,0.6411164883737487,62.34291670437776,Bus/Taxi
2,2.0,49.0861222976493,-0.6318814089853024,33.04619448950548,Bus/Taxi
2,1.0,50.71250550134709,-15.836387654495311,32.20416814998697,Bus/Taxi
3,32.0,1042.9224401675583,-0.2554416861108122,96.25487253587394,Arena - Stage
3,24.0,983.2661337656698,-0.212627686067961,109.685477742462,Arena - Stage
3,16.0,741.2941948424026,0.45316437418041877,118.12663351830662,Arena - Stage
3,12.0,596.7228834181396,0.3795950760564667,144.81058504391964,Arena - Stage
3,8.0,555.8257855947807,0.3064390966745064,167.54480587269282,Arena - Stage
3,4.0,688.3710845713775,0.36657588819013587,146.16682130783488,Arena - Stage
3,2.0,918.1179205755654,0.0862963173857989,102.5095438615365,Arena - Stage
3,1.0,1236.7299216370457,-15.973485107743954,85.84504887462525,Arena - Stage
4,32.0,31.11322706643783,0.36891881194110865,20.24744616724891,Camping Q (GAT Central)
4,24.0,29.57912567596268,0.47998479729059973,19.52460734990624,Camping Q (GAT Central)
4,16.0,29.417067275682637,0.5803151407042346,19.387648216655638,Camping Q (GAT Central)
4,12.0,29.900797414249375,0.6221127202185256,20.215793028617703,Camping Q (GAT Central)
4,8.0,31.098561034517207,0.40388022942352586,22.415784882818997,Camping Q (GAT Central)
4,4.0,41.05838290852861,0.20867517358362608,28.469344272587865,Camping Q (GAT Central)
4,2.0,55.80828536417443,-3.3553683173138733,37.244718782264414,Camping Q (GAT Central)
4,1.0,26.724130588906267,-24.28067807904126,20.939985479948557,Camping Q (GAT Central)
5,32.0,159.99380069563284,-0.06481999385701709,42.30784215400457,Camping C
5,24.0,163.5655563558891,-0.09510755041526275,49.16597252136207,Camping C
5,16.0,165.3804408252669,0.052686273005898565,59.23005332317442,Camping C
5,12.0,185.3727501946016,-0.17264054567787523,75.07138132109525,Camping C
5,8.0,220.95138155896447,-1.5429747658383381,106.32969858374382,Camping C
5,4.0,236.51251507447043,-2.493120918697855,75.07860468715153,Camping C
5,2.0,197.02590149036655,-3.009937851725499,33.75538431530493,Camping C
5,1.0,148.05443218542788,-11.354580746653214,27.598316955008706,Camping C
6,32.0,1898.6358748654022,0.756055045513372,51.285714529500716,Roskilde Festival (Inner area)
6,24.0,2026.9428137336688,0.7195326376178119,63.72755351692455,Roskilde Festival (Inner area)
6,16.0,1419.581173407402,0.8171475636514467,81.53599842798505,Roskilde Festival (Inner area)
6,12.0,1556.1534964505413,0.34870873875938213,105.22256434429961,Roskilde Festival (Inner area)
6,8.0,1645.544889919226,0.1011438663889822,129.20616123103474,Roskilde Festival (Inner area)
6,4.0,1410.0364503601209,0.5492444198940961,92.32435277368558,Roskilde Festival (Inner area)
6,2.0,753.9705173830341,0.7891688876967903,23.14249277101056,Roskilde Festival (Inner area)
6,1.0,578.1387743685265,0.02336439051145256,11.819617867254445,Roskilde Festival (Inner area)
7,32.0,67.33989521087396,0.47709344363093487,16.907827499933127,Camping M (GAT East)/Restricted Camping (Soveby)
7,24.0,61.37624169069646,0.5882758736864468,15.515919305036977,Camping M (GAT East)/Restricted Camping (Soveby)
7,16.0,56.561366663788114,0.7180549638293172,13.285134438944729,Camping M (GAT East)/Restricted Camping (Soveby)
7,12.0,58.03212078777835,0.7330561740938949,13.89413245856658,Camping M (GAT East)/Restricted Camping (Soveby)
7,8.0,64.23431120084352,0.48932670386752186,16.476517182657975,Camping M (GAT East)/Restricted Camping (Soveby)
7,4.0,89.32718940353558,0.22741778963361647,24.50870623284846,Camping M (GAT East)/Restricted Camping (Soveby)
7,2.0,121.04382749722623,-4.122044459072981,33.8439466401298,Camping M (GAT East)/Restricted Camping (Soveby)
7,1.0,107.92123773095453,-2.853191424314026,25.257591076961823,Camping M (GAT East)/Restricted Camping (Soveby)
8,32.0,2.0526230653691675,0.4735311009694496,47.63878605371756,Parking West
8,24.0,2.1584313364213834,0.4956272523809593,47.50548861919936,Parking West
8,16.0,1.9442873685483366,0.5550470470516355,45.600343629630736,Parking West
8,12.0,1.9380335787518026,0.5742724235224395,49.848910956497505,Parking West
8,8.0,1.441470132383301,-0.35782017228743257,56.85456805544376,Parking West
8,4.0,1.4965920550375715,-1.6062985067072946,67.29759822941624,Parking West
8,2.0,1.5029182106957102,-0.8070105184326359,59.77039818950032,Parking West
8,1.0,1.361432305766559,-0.4827983385478791,44.16625783719703,Parking West
9,32.0,20.959424136896317,0.7264390504366797,35.7196461741776,Artist Village
9,24.0,19.86915430075531,0.7411578108694192,41.070039263281124,Artist Village
9,16.0,16.471366740413842,0.5496464272511102,51.81010904190907,Artist Village
9,12.0,15.146103416920196,0.056392030775152535,61.13271322077443,Artist Village
9,8.0,15.08554586600008,-0.627172172838018,74.19015690984679,Artist Village
9,4.0,12.742499382622961,0.20691730191304447,56.94287451080766,Artist Village
9,2.0,7.192397132115696,0.4525864919993007,17.756077845677186,Artist Village
9,1.0,8.880548914160087,0.20489830858938984,21.92489541686277,Artist Village
10,32.0,64.07612743113084,0.42960679893874176,48.055143984818706,Street City
10,24.0,68.01370922604823,0.3962243038139881,58.08569768494232,Street City
