pol,mape_AR,mape_AutoARIMA,mape_fbprophet,pol_name,pol_type
6,83.30911177805486,132.883189909326,444.7576425728635,Roskilde Festival (Inner area),main
49,92.09847231627992,410.19545805978356,896.25725831597,Orange - Area,stage
18,85.42377545380161,60.20989603513485,175.68400440192073,Rising - Stage,stage
5,57.673641114509024,63.78504051653465,43.42051482293138,Camping C,camping
2,94.8720351767974,58.585310081411556,62.942196844192345,Bus/Taxi,transport
25,58.41452675211324,93.38186943895207,52.81591700638158,Camping E,camping
