polygon_id,devices,timestamp
1,1,2017-06-25 23:58:38
1,7,2017-06-24 22:30:30
1,2,2017-06-24 22:08:38
1,1,2017-06-24 21:40:02
1,1,2017-06-25 21:22:17
1,1,2017-06-24 19:30:02
1,6,2017-06-24 19:17:39
1,1,2017-06-24 19:01:27
1,2,2017-06-24 18:26:57
1,3,2017-06-25 21:04:00
1,1,2017-06-24 17:47:59
1,1,2017-06-24 17:37:42
1,1,2017-06-24 17:25:40
1,1,2017-06-24 17:11:52
1,1,2017-06-24 16:57:57
1,1,2017-06-24 16:31:31
1,2,2017-06-24 15:24:22
1,3,2017-06-24 15:02:01
1,1,2017-06-24 14:56:02
1,3,2017-06-24 14:37:22
1,1,2017-06-24 14:22:00
1,1,2017-06-24 11:48:27
1,1,2017-06-24 11:35:25
1,1,2017-06-24 11:16:14
1,1,2017-06-24 11:09:51
1,1,2017-06-24 10:31:13
1,1,2017-06-24 08:52:49
1,1,2017-06-24 08:10:45
1,2,2017-06-24 07:27:55
1,1,2017-06-24 07:05:12
1,1,2017-06-24 06:58:23
1,1,2017-06-24 06:37:38
1,2,2017-06-24 06:21:38
1,2,2017-06-24 06:01:44
1,1,2017-06-24 03:56:54
1,1,2017-06-24 00:56:42
1,2,2017-06-25 19:25:42
1,1,2017-06-24 00:23:45
1,2,2017-06-23 23:34:40
1,1,2017-06-23 22:19:55
1,1,2017-06-23 21:18:45
1,1,2017-06-23 21:11:11
1,3,2017-06-23 20:56:35
1,2,2017-06-23 20:23:40
1,1,2017-06-23 19:35:55
1,1,2017-06-23 19:25:19
1,3,2017-06-23 19:02:25
1,2,2017-06-23 18:00:05
1,1,2017-06-23 17:34:12
1,1,2017-06-23 17:18:18
1,1,2017-06-25 18:30:49
1,3,2017-06-23 16:53:32
1,1,2017-06-23 16:23:42
1,2,2017-06-23 16:10:08
1,1,2017-06-23 15:40:21
1,1,2017-06-23 15:09:29
1,1,2017-06-23 14:49:01
1,1,2017-06-25 18:16:24
1,1,2017-06-23 13:00:36
1,1,2017-06-25 18:01:27
1,1,2017-06-23 10:46:30
1,1,2017-06-23 10:15:18
1,2,2017-06-23 10:04:40
1,1,2017-06-25 17:46:28
1,3,2017-06-23 07:46:39
1,1,2017-06-25 17:30:48
1,1,2017-06-25 17:21:49
1,1,2017-06-25 17:05:46
1,1,2017-06-25 16:46:32
1,2,2017-06-25 23:28:46
1,1,2017-06-25 16:36:20
1,1,2017-06-25 16:19:52
1,1,2017-06-22 16:18:20
1,1,2017-06-25 16:01:21
1,1,2017-06-25 15:46:13
1,2,2017-06-25 15:33:50
1,2,2017-06-25 15:18:42
1,2,2017-06-25 15:01:03
1,2,2017-06-25 14:46:00
1,2,2017-06-25 14:38:04
1,3,2017-06-25 13:16:45
1,1,2017-06-25 12:37:54
1,1,2017-06-25 12:16:37
1,1,2017-06-25 11:50:35
1,1,2017-06-25 22:45:09
1,1,2017-06-25 11:41:05
1,2,2017-06-25 11:27:55
1,3,2017-06-25 11:05:13
1,1,2017-06-25 10:55:53
1,1,2017-06-25 10:43:50
1,1,2017-06-25 10:05:13
1,2,2017-06-25 22:30:27
1,1,2017-06-25 09:07:42
1,2,2017-06-25 08:20:02
1,1,2017-06-25 07:49:54
1,1,2017-06-25 07:36:34
1,1,2017-06-25 06:48:17
1,1,2017-06-25 06:28:11
1,2,2017-06-25 05:59:25
1,1,2017-06-25 05:13:23
1,2,2017-06-25 00:32:39
1,2,2017-06-25 00:20:03
1,2,2017-06-25 00:10:38
1,1,2017-06-24 23:30:50
1,1,2017-06-27 05:34:35
1,2,2017-06-27 07:01:04
