,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2017-07-01 00:00:00,237.97131567054453,97.47532220239606,369.50342130593026,159,2017-06-30 23:45:11
1,2017-07-01 00:15:02,225.79448543567756,90.70851215717099,346.8619225531635,151,2017-06-30 23:45:11
2,2017-07-01 00:30:00,212.01823055764754,84.58117494970824,343.923031771168,143,2017-06-30 23:45:11
3,2017-07-01 00:45:05,196.8791273339204,68.12560261432304,329.63129415945457,115,2017-06-30 23:45:11
4,2017-07-01 01:00:00,181.17219624334268,49.56276278277177,309.23316337351065,101,2017-06-30 23:45:11
5,2017-07-01 01:15:03,165.1561657382761,28.79566692166044,291.8198340842079,66,2017-06-30 23:45:11
6,2017-07-01 01:30:04,149.6021699300185,8.879292760615241,284.41437547664935,60,2017-06-30 23:45:11
7,2017-07-01 01:45:18,134.85322616961827,0.6853654882033039,273.33515979923595,41,2017-06-30 23:45:11
8,2017-07-01 02:00:12,121.95045899947499,-11.119712035113206,247.97547063753407,21,2017-06-30 23:45:11
9,2017-07-01 02:15:22,110.80087038910634,-21.978294016098687,240.61964026308166,16,2017-06-30 23:45:11
10,2017-07-01 02:30:13,102.12891063569941,-28.048819605423276,236.90100644988152,6,2017-06-30 23:45:11
11,2017-07-01 02:45:39,95.64820311318977,-47.180569180729854,232.97150911385384,6,2017-06-30 23:45:11
12,2017-07-01 03:01:34,91.6896678777411,-36.3757994022761,223.73582091162325,4,2017-06-30 23:45:11
13,2017-07-01 03:15:49,90.3703288631101,-48.662415290230605,223.6808347527857,5,2017-06-30 23:45:11
14,2017-07-01 03:32:52,91.22377319283117,-49.92594572827122,226.16010944025044,2,2017-06-30 23:45:11
15,2017-07-01 03:57:40,96.07069184054666,-42.5580349058654,234.03918081722406,2,2017-06-30 23:45:11
16,2017-07-01 04:01:25,97.06356289995784,-35.7295857580159,225.77573373321042,2,2017-06-30 23:45:11
17,2017-07-01 04:18:45,102.12448388460268,-33.7441531376431,236.62051505532125,1,2017-06-30 23:45:11
18,2017-07-01 04:35:28,107.21294249318245,-28.543204457963988,238.2892165990308,2,2017-06-30 23:45:11
19,2017-07-01 04:53:05,112.09778964496516,-29.93169970155202,242.6736306833661,2,2017-06-30 23:45:11
