,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2017-07-01 00:00:01,182.41970301384373,37.08869431843638,318.85118147931087,160,2017-06-30 23:46:15
1,2017-07-01 00:15:00,161.1233125225829,25.129502752295565,302.9222542199039,189,2017-06-30 23:46:15
2,2017-07-01 00:30:00,138.263984032858,-2.7183305635260986,264.8297089605585,207,2017-06-30 23:46:15
3,2017-07-01 00:45:00,114.5358664620857,-24.08444776162681,267.2183133972566,168,2017-06-30 23:46:15
4,2017-07-01 01:00:01,90.62062741130023,-53.41585582878412,233.64951608132984,209,2017-06-30 23:46:15
5,2017-07-01 01:15:00,67.29865733236448,-74.36693605851758,198.60394025901155,219,2017-06-30 23:46:15
6,2017-07-01 01:30:00,45.143421456739745,-87.89508418994245,173.53052296339726,233,2017-06-30 23:46:15
7,2017-07-01 01:45:00,24.74729161320934,-126.20710878644489,169.67547604649096,532,2017-06-30 23:46:15
8,2017-07-01 02:00:02,6.520713816922097,-132.17907109234022,143.0707801546996,189,2017-06-30 23:46:15
9,2017-07-01 02:15:01,-9.131524044901909,-145.48322183731983,123.75083881854844,44,2017-06-30 23:46:15
10,2017-07-01 02:30:13,-22.288410012196522,-162.60491193106367,120.89609308489563,24,2017-06-30 23:46:15
11,2017-07-01 02:45:06,-32.51674587874406,-169.1712346042104,112.33149448732249,15,2017-06-30 23:46:15
12,2017-07-01 03:00:01,-40.278960519520794,-182.00835481333544,103.20285298949236,8,2017-06-30 23:46:15
13,2017-07-01 03:18:02,-46.72600816837678,-181.35710593797023,88.87096947306901,3,2017-06-30 23:46:15
14,2017-07-01 03:40:59,-51.317746871532904,-196.51675704366122,79.5344875586469,1,2017-06-30 23:46:15
15,2017-07-01 03:48:14,-52.162324541320814,-197.1600359223174,78.82782541402679,1,2017-06-30 23:46:15
16,2017-07-01 04:09:49,-53.708526572815884,-199.70276807482213,76.05545827352843,1,2017-06-30 23:46:15
17,2017-07-01 04:29:18,-54.698824734611236,-188.3841384165722,76.58636621708968,1,2017-06-30 23:46:15
18,2017-07-01 04:32:45,-54.9009476000674,-195.58300433621568,82.4883955139841,2,2017-06-30 23:46:15
19,2017-07-01 04:47:56,-56.04285161672283,-190.48045771814,89.23371481833541,3,2017-06-30 23:46:15
20,2017-07-01 05:15:39,-59.641701936691334,-198.52024179542826,79.8933150754703,5,2017-06-30 23:46:15
