,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2017-07-01 00:00:00,265.123162318807,0.8906019333895876,559.8059086283574,796,2017-06-30 23:47:54
1,2017-07-01 00:15:00,230.7784757973079,-79.11146269495698,527.5102854679832,795,2017-06-30 23:47:54
2,2017-07-01 00:30:00,196.64116263055757,-84.09461136949528,494.5717552588819,744,2017-06-30 23:47:54
3,2017-07-01 00:45:00,163.62128284387893,-111.39223811410267,450.77922971025066,635,2017-06-30 23:47:54
4,2017-07-01 01:00:00,132.6426122650802,-158.09960506649588,429.51631539910755,230,2017-06-30 23:47:54
5,2017-07-01 01:15:18,104.07104146671068,-187.79994261454607,401.12202838242473,9,2017-06-30 23:47:54
6,2017-07-01 01:31:33,78.02448077156492,-193.7166497779014,374.4874968832582,3,2017-06-30 23:47:54
7,2017-07-01 01:47:25,57.67059982359274,-246.4207679873421,345.1917714887686,5,2017-06-30 23:47:54
8,2017-07-01 02:10:52,37.967943874881,-229.28111321533834,332.5596312393212,1,2017-06-30 23:47:54
9,2017-07-01 02:26:58,31.997544161366534,-237.48287875087846,318.6867127581261,1,2017-06-30 23:47:54
10,2017-07-01 02:36:31,31.34893813635196,-248.60335332970723,337.6395528175742,1,2017-06-30 23:47:54
11,2017-07-01 02:46:34,32.90393183004227,-270.0854615483297,325.5280766413005,1,2017-06-30 23:47:54
12,2017-07-01 03:09:40,44.405499159733665,-221.82823585089415,342.374794080471,1,2017-06-30 23:47:54
13,2017-07-01 07:05:29,128.60382486019307,-152.60473782679657,426.6516311661747,1,2017-06-30 23:47:54
14,2017-07-01 08:03:18,72.23684381324108,-215.23362666988908,346.3333143988797,2,2017-06-30 23:47:54
15,2017-07-01 08:27:53,58.44944789129599,-229.29779460541403,358.43666146556865,1,2017-06-30 23:47:54
16,2017-07-01 08:45:00,55.010492629633745,-219.04664941593333,364.00374223400905,2,2017-06-30 23:47:54
17,2017-07-01 09:54:43,99.22035443545451,-200.85082488712197,393.6057833035194,2,2017-06-30 23:47:54
18,2017-07-01 10:00:09,106.13732266703161,-182.84729278397137,398.49244288170013,8,2017-06-30 23:47:54
19,2017-07-01 10:17:55,131.1537138725329,-144.91544035868435,403.9645431009038,17,2017-06-30 23:47:54
20,2017-07-01 10:30:13,150.09969660565028,-156.2596410786958,443.9204948533925,27,2017-06-30 23:47:54
21,2017-07-01 10:45:35,174.8237095931541,-122.61191527968357,462.66708430403116,53,2017-06-30 23:47:54
22,2017-07-01 11:00:00,198.31185197706995,-89.20071021644156,498.8550417906163,134,2017-06-30 23:47:54
23,2017-07-01 11:15:00,222.24298415767714,-51.70681752536595,503.6762273507687,288,2017-06-30 23:47:54
24,2017-07-01 11:30:00,244.92060345804808,-45.29590654596237,517.9635830422028,509,2017-06-30 23:47:54
25,2017-07-01 11:45:00,265.71911306301996,-35.52459658534483,543.4924180383698,635,2017-06-30 23:47:54
26,2017-07-01 12:00:00,284.16388002126905,3.5984097193282287,569.2222032697592,778,2017-06-30 23:47:54
27,2017-07-01 12:15:00,299.95080967201113,16.421799474523947,594.4414718593216,882,2017-06-30 23:47:54
28,2017-07-01 12:30:00,312.95469525310125,29.03914332784523,595.5126691104267,837,2017-06-30 23:47:54
29,2017-07-01 12:45:00,323.2262370243881,44.73571366336961,617.5527888291597,797,2017-06-30 23:47:54
30,2017-07-01 13:00:00,330.9783549393185,46.99250630666846,632.3634089201121,744,2017-06-30 23:47:54
31,2017-07-01 13:15:00,336.56308816712993,61.23550927385836,642.5781418622341,657,2017-06-30 23:47:54
32,2017-07-01 13:30:04,340.455142680241,38.029862803903924,639.7874057588397,22,2017-06-30 23:47:54
33,2017-07-01 13:45:06,343.1603180551104,47.9211627966444,654.5036221329918,20,2017-06-30 23:47:54
34,2017-07-01 14:00:34,345.3170169657555,66.51597535152658,606.7857802705121,22,2017-06-30 23:47:54
35,2017-07-01 14:15:05,347.30682594322775,54.04641775334959,635.6503458522475,266,2017-06-30 23:47:54
36,2017-07-01 14:30:01,349.82660886141235,76.0277613642246,634.3401337211677,303,2017-06-30 23:47:54
37,2017-07-01 14:45:00,353.27707854701896,69.16351124120027,624.8642844701661,307,2017-06-30 23:47:54
38,2017-07-01 15:00:00,358.0067551963488,82.28425109114139,645.515889374745,271,2017-06-30 23:47:54
39,2017-07-01 15:15:02,364.2646662211416,82.81510695233766,684.2640158318704,259,2017-06-30 23:47:54
40,2017-07-01 15:30:00,372.1177142708742,80.8744789391963,665.6268231681611,241,2017-06-30 23:47:54
41,2017-07-01 15:45:01,381.61596764153524,105.4489194615191,677.9724031152685,165,2017-06-30 23:47:54
42,2017-07-01 16:00:00,392.5877475102324,96.65657581496798,670.6778759667136,255,2017-06-30 23:47:54
43,2017-07-01 16:15:00,404.8479139959029,109.98124173463576,673.7183733068922,400,2017-06-30 23:47:54
44,2017-07-01 16:30:01,418.10479155639814,148.2491497234637,698.7628681486453,545,2017-06-30 23:47:54
45,2017-07-01 16:45:00,431.9667247585078,145.35368909993355,712.0500493134047,529,2017-06-30 23:47:54
46,2017-07-01 17:00:00,446.10878980239806,172.4742400655609,734.4674576692762,446,2017-06-30 23:47:54
47,2017-07-01 17:15:00,460.14767859294477,154.58203678995582,722.3265519851865,287,2017-06-30 23:47:54
48,2017-07-01 17:31:28,475.034611373336,188.4954083679471,774.1462399789862,8,2017-06-30 23:47:54
49,2017-07-01 17:48:24,489.37519804625424,186.76090838845445,779.6359814850889,12,2017-06-30 23:47:54
