,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2017-07-01 00:00:00,2113.303518703014,49.16882283674117,4227.867747226253,2936,2017-06-30 23:45:07
1,2017-07-01 00:15:00,1854.7561989047351,-301.1312310688216,4013.825919886831,2074,2017-06-30 23:45:07
2,2017-07-01 00:30:00,1626.0012043060306,-576.3269161088983,3675.683253088915,1544,2017-06-30 23:45:07
3,2017-07-01 00:45:00,1428.7640179459436,-708.3674866904435,3593.703429700913,1237,2017-06-30 23:45:07
4,2017-07-01 01:00:00,1263.1529288647907,-986.6842867325312,3548.4058107416618,1252,2017-06-30 23:45:07
5,2017-07-01 01:15:00,1127.8003023308606,-1087.207227981603,3190.3648011066152,1318,2017-06-30 23:45:07
6,2017-07-01 01:30:00,1020.0827681241764,-1258.682908822033,3100.536480615069,432,2017-06-30 23:45:07
7,2017-07-01 01:45:00,936.4029643708859,-1318.1377284308514,3085.2306532007938,179,2017-06-30 23:45:07
8,2017-07-01 02:00:00,872.5120470896638,-1264.838763282909,3006.773570700351,159,2017-06-30 23:45:07
9,2017-07-01 02:15:00,823.8502004679792,-1306.1799091315384,2961.997640879528,65,2017-06-30 23:45:07
10,2017-07-01 02:30:00,785.8819686749002,-1200.0058794163938,3055.47382441448,38,2017-06-30 23:45:07
11,2017-07-01 02:45:04,754.2733089291271,-1477.409747907171,2894.101792354846,14,2017-06-30 23:45:07
12,2017-07-01 03:00:05,725.6519035741887,-1361.8372752696373,3023.703368107229,11,2017-06-30 23:45:07
13,2017-07-01 03:15:05,697.1158842142324,-1497.497104976272,2921.690896533503,10,2017-06-30 23:45:07
14,2017-07-01 03:30:06,666.7062544530907,-1534.7122047254327,2757.2946493853424,8,2017-06-30 23:45:07
15,2017-07-01 03:45:05,633.6051046111077,-1610.8568184462645,2820.1296233082116,12,2017-06-30 23:45:07
16,2017-07-01 04:00:02,597.8439323687226,-1655.5295425154604,2784.344654061165,8,2017-06-30 23:45:07
17,2017-07-01 04:15:20,559.2981894631012,-1579.729013146709,2800.106664906009,7,2017-06-30 23:45:07
18,2017-07-01 04:30:10,521.5626367051314,-1621.2904931453536,2633.610686079278,6,2017-06-30 23:45:07
19,2017-07-01 04:45:02,485.32760164266233,-1690.305741570367,2724.4114009628897,8,2017-06-30 23:45:07
20,2017-07-01 05:00:02,452.55935440770236,-1470.7335045229765,2549.655812271645,7,2017-06-30 23:45:07
21,2017-07-01 05:15:02,425.7791410540815,-1970.9429200303723,2413.3698087894736,13,2017-06-30 23:45:07
22,2017-07-01 05:30:00,406.94930145619765,-1715.2135697713597,2461.814893994721,15,2017-06-30 23:45:07
23,2017-07-01 05:45:04,397.4334818778566,-1743.580850665613,2591.8083613899457,16,2017-06-30 23:45:07
24,2017-07-01 06:00:02,398.20515790971353,-1845.3672805196861,2490.321450721879,12,2017-06-30 23:45:07
25,2017-07-01 06:15:07,409.41697888052363,-1706.3741513868638,2537.292964752068,11,2017-06-30 23:45:07
26,2017-07-01 06:30:41,431.27632809446277,-1703.1362638513333,2587.8123071593654,13,2017-06-30 23:45:07
27,2017-07-01 06:45:00,459.2976143295159,-1728.0429502133916,2601.837970215529,19,2017-06-30 23:45:07
28,2017-07-01 07:00:00,494.83260478695547,-1614.3018174300792,2555.5754698516516,14,2017-06-30 23:45:07
29,2017-07-01 07:15:10,534.6794946923892,-1688.221036036688,2774.569444152662,21,2017-06-30 23:45:07
