,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2017-07-01 00:00:00,193.81040626190418,20.89444526228134,377.5173170533576,206,2017-06-30 23:46:10
1,2017-07-01 00:15:00,169.99408736983028,-8.308779399808435,350.90430044679135,187,2017-06-30 23:46:10
2,2017-07-01 00:30:00,145.72212623887432,-43.94480560408049,314.97577015321514,164,2017-06-30 23:46:10
3,2017-07-01 00:45:04,121.58473732930146,-58.343881444381296,291.8463965284075,153,2017-06-30 23:46:10
4,2017-07-01 01:00:01,98.54742294049929,-69.48760318140684,275.05412238210886,335,2017-06-30 23:46:10
5,2017-07-01 01:15:00,76.98539970579472,-81.65157142881905,250.6038552093047,224,2017-06-30 23:46:10
6,2017-07-01 01:30:01,57.43266185888319,-114.24079518125089,239.524622925754,160,2017-06-30 23:46:10
7,2017-07-01 01:45:01,40.36226162209897,-140.24345337569676,227.5124444809073,99,2017-06-30 23:46:10
8,2017-07-01 02:00:01,26.01655534733453,-155.33769838105817,192.74590957025066,82,2017-06-30 23:46:10
9,2017-07-01 02:15:07,14.444432271090221,-168.53272389515766,171.59689501707808,52,2017-06-30 23:46:10
10,2017-07-01 02:30:04,5.789163328197446,-174.4927312804499,188.9001550149377,20,2017-06-30 23:46:10
11,2017-07-01 02:45:02,-0.25729250808248594,-174.31294841132865,176.75068274974015,23,2017-06-30 23:46:10
12,2017-07-01 03:00:08,-4.003362816113224,-175.34560675439985,165.21899027862173,8,2017-06-30 23:46:10
13,2017-07-01 03:16:18,-5.850916117261846,-194.64173581333355,174.58817562067972,4,2017-06-30 23:46:10
14,2017-07-01 03:30:47,-6.070885819143001,-177.64061087678766,168.8988836349872,3,2017-06-30 23:46:10
15,2017-07-01 03:53:13,-4.805919997289095,-199.83462715648577,159.3699445651655,4,2017-06-30 23:46:10
16,2017-07-01 04:03:03,-3.990143514955008,-179.11495328724305,179.97448155686791,5,2017-06-30 23:46:10
17,2017-07-01 04:15:00,-3.0344861918250388,-174.8691387154295,169.53521549204453,8,2017-06-30 23:46:10
18,2017-07-01 04:30:50,-2.127737296442149,-187.38552981013575,161.7021292466585,3,2017-06-30 23:46:10
19,2017-07-01 04:45:19,-1.914635456864147,-175.0177554592391,176.76604251559056,4,2017-06-30 23:46:10
20,2017-07-01 05:08:13,-3.1334299106364085,-177.41676485190428,164.04789129724193,2,2017-06-30 23:46:10
21,2017-07-01 05:16:22,-4.045860098333236,-184.82154250393293,172.73735537369424,4,2017-06-30 23:46:10
22,2017-07-01 05:30:59,-6.245661208789272,-171.9689369516858,179.02386043034667,6,2017-06-30 23:46:10
23,2017-07-01 05:48:24,-9.585459492497762,-187.46454830916838,180.74953265970188,8,2017-06-30 23:46:10
24,2017-07-01 06:00:13,-12.08368684776488,-189.92377120306887,162.1893926946854,9,2017-06-30 23:46:10
25,2017-07-01 06:15:15,-15.221470662942352,-198.9275026656176,162.78578372020564,5,2017-06-30 23:46:10
26,2017-07-01 06:30:49,-18.02860909345128,-197.1515764781964,165.95302230915215,6,2017-06-30 23:46:10
27,2017-07-01 06:45:48,-19.88907924249588,-194.4713645144198,161.4004546881042,15,2017-06-30 23:46:10
28,2017-07-01 07:00:04,-20.53940313853792,-211.94612106839196,148.32728849705023,14,2017-06-30 23:46:10
29,2017-07-01 07:17:14,-19.46546878275751,-196.88766270586393,169.7440829475394,10,2017-06-30 23:46:10
30,2017-07-01 07:30:02,-17.135361744789748,-189.2792957665434,169.02327506171883,13,2017-06-30 23:46:10
31,2017-07-01 07:45:51,-12.29831388793238,-198.11147468130667,160.90843032068824,23,2017-06-30 23:46:10
32,2017-07-01 08:00:00,-6.104932062472585,-199.3295799467252,175.3036239761159,24,2017-06-30 23:46:10
33,2017-07-01 08:15:06,2.3695862118231616,-175.65227938141058,172.93730125867927,20,2017-06-30 23:46:10
34,2017-07-01 08:30:12,12.573741251249999,-167.18333447063202,186.10406198451884,31,2017-06-30 23:46:10
35,2017-07-01 08:45:05,24.025894546712948,-153.32635329664114,201.45599543710037,33,2017-06-30 23:46:10
36,2017-07-01 09:00:03,36.55525040090231,-136.15745076062495,218.16152450325075,36,2017-06-30 23:46:10
37,2017-07-01 09:15:02,49.67260427602507,-122.28147911494543,224.919226494878,58,2017-06-30 23:46:10
