,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2017-07-01 00:00:00,53.20300853196781,-1.2198943231176376,111.70361526032208,40,2017-06-30 23:45:03
1,2017-07-01 00:15:04,41.063042420026264,-19.859895444485005,96.76346467695907,38,2017-06-30 23:45:03
2,2017-07-01 00:30:00,28.398084098397483,-27.88997099570651,83.52325009756439,40,2017-06-30 23:45:03
3,2017-07-01 00:45:02,15.351424398821493,-45.03674509807649,73.32847873273391,35,2017-06-30 23:45:03
4,2017-07-01 01:00:06,2.3206480734604966,-53.45568604630907,64.12805135143066,70,2017-06-30 23:45:03
5,2017-07-01 01:15:01,-10.213329282270657,-66.5565615632754,51.51318650457153,59,2017-06-30 23:45:03
6,2017-07-01 01:30:01,-22.158021743528757,-77.68639897526171,35.66704516551187,68,2017-06-30 23:45:03
7,2017-07-01 01:45:00,-33.185261702867706,-90.76779281939908,29.83544420376525,50,2017-06-30 23:45:03
8,2017-07-01 02:00:05,-43.1838507564984,-105.3236196329857,14.767143149051094,40,2017-06-30 23:45:03
9,2017-07-01 02:15:01,-51.869868839250195,-110.20558334354446,7.80214575616205,28,2017-06-30 23:45:03
10,2017-07-01 02:30:05,-59.351056108671024,-117.63712589839325,-2.2398109031032574,10,2017-06-30 23:45:03
11,2017-07-01 02:45:04,-65.51734515043626,-120.96917917128432,-6.836279866245759,24,2017-06-30 23:45:03
12,2017-07-01 03:00:04,-70.4778217038799,-130.07370547564506,-18.929537871072572,13,2017-06-30 23:45:03
13,2017-07-01 03:15:41,-74.46573858582931,-133.06983847037617,-17.452631053698877,16,2017-06-30 23:45:03
14,2017-07-01 03:30:05,-77.21009855956837,-137.93150757321717,-16.699337683650743,12,2017-06-30 23:45:03
15,2017-07-01 03:45:01,-79.25875365221691,-137.55966668343504,-23.333944141370438,11,2017-06-30 23:45:03
16,2017-07-01 04:00:09,-80.65929460677881,-136.28200881425258,-16.226995399563886,11,2017-06-30 23:45:03
17,2017-07-01 04:15:34,-81.53305448435177,-139.2405541683962,-22.23882069088575,12,2017-06-30 23:45:03
18,2017-07-01 04:30:00,-81.95106143686647,-146.42432182684865,-24.166653899983025,12,2017-06-30 23:45:03
19,2017-07-01 04:45:00,-82.04637198284496,-139.71823928570117,-24.88840055613264,6,2017-06-30 23:45:03
20,2017-07-01 05:01:33,-81.78151547398458,-143.156774785798,-17.37168617690949,6,2017-06-30 23:45:03
21,2017-07-01 05:15:04,-81.25789083105455,-140.70575771725544,-25.085536249249134,12,2017-06-30 23:45:03
22,2017-07-01 05:30:07,-80.28479310445775,-137.43000744684335,-22.480168140673435,6,2017-06-30 23:45:03
