,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2017-07-01 00:00:00,193.72200178950246,-8.136034873084501,368.7639895918576,188,2017-06-30 23:45:16
1,2017-07-01 00:15:00,159.18018872753814,-34.38990606066282,360.12789337687974,230,2017-06-30 23:45:16
2,2017-07-01 00:30:00,122.97725374486967,-71.68442614754048,308.06048022170717,243,2017-06-30 23:45:16
3,2017-07-01 00:45:00,86.14128474121242,-97.33528864201395,271.70580881866334,204,2017-06-30 23:45:16
4,2017-07-01 01:00:00,49.713650435314875,-159.86248687317917,257.1238859376965,317,2017-06-30 23:45:16
5,2017-07-01 01:15:00,14.687108905013247,-174.22623225590232,205.78036104096026,325,2017-06-30 23:45:16
6,2017-07-01 01:30:00,-18.05150568645206,-212.5368060409671,165.33449522785725,333,2017-06-30 23:45:16
7,2017-07-01 01:45:00,-47.770232869004104,-233.92165177272116,146.13960127586182,599,2017-06-30 23:45:16
8,2017-07-01 02:00:00,-73.92940131869804,-260.0128761845758,117.96014284088923,297,2017-06-30 23:45:16
9,2017-07-01 02:15:00,-96.20516630852578,-295.11305539255477,91.42182025087263,116,2017-06-30 23:45:16
10,2017-07-01 02:30:03,-114.55219510822232,-303.93235858820975,79.74993756657312,64,2017-06-30 23:45:16
11,2017-07-01 02:45:00,-128.92448949831237,-308.7649657702988,77.11774806672005,34,2017-06-30 23:45:16
12,2017-07-01 03:00:01,-139.80755044827015,-330.34259194201195,45.38475275169694,28,2017-06-30 23:45:16
13,2017-07-01 03:16:04,-148.039806659894,-341.7135859897101,33.802000025579844,13,2017-06-30 23:45:16
14,2017-07-01 03:30:37,-153.0578674668701,-343.24402384355676,29.808748834777738,8,2017-06-30 23:45:16
15,2017-07-01 03:45:18,-156.38946621483854,-338.76099498168213,31.295410271783737,9,2017-06-30 23:45:16
16,2017-07-01 04:04:53,-159.18169676887982,-343.482456450883,26.935088609914,6,2017-06-30 23:45:16
17,2017-07-01 04:16:09,-160.40302378910752,-345.4236184757992,36.97547802570805,10,2017-06-30 23:45:16
18,2017-07-01 04:30:08,-161.92041886123764,-354.35087994474264,35.34427849295562,10,2017-06-30 23:45:16
19,2017-07-01 04:45:02,-163.84938789110018,-347.59526513359197,29.70924019691288,11,2017-06-30 23:45:16
20,2017-07-01 05:10:59,-168.48277421995942,-344.69420974568686,13.302178811268204,1,2017-06-30 23:45:16
21,2017-07-01 05:15:14,-169.3947565087772,-364.63709140833936,31.699991682578506,8,2017-06-30 23:45:16
22,2017-07-01 05:34:50,-173.92952618497662,-352.6967066600004,5.989917509261814,6,2017-06-30 23:45:16
23,2017-07-01 05:45:18,-176.37797848690184,-357.93475321546964,9.615606158882505,13,2017-06-30 23:45:16
24,2017-07-01 06:00:41,-179.58459686462498,-366.9271227721397,4.393353856498143,13,2017-06-30 23:45:16
25,2017-07-01 06:15:31,-181.71416394075345,-364.7995595279488,26.207281099237328,10,2017-06-30 23:45:16
26,2017-07-01 06:30:00,-182.29459590846238,-352.24150051784864,6.194170851706512,9,2017-06-30 23:45:16
27,2017-07-01 06:45:00,-180.7255019281004,-362.577685351752,12.54859240122574,15,2017-06-30 23:45:16
28,2017-07-01 07:01:51,-175.6225524940401,-370.93143223836313,19.652754157315766,9,2017-06-30 23:45:16
29,2017-07-01 07:16:18,-167.9459856733282,-351.25184930038984,11.09330396335749,10,2017-06-30 23:45:16
30,2017-07-01 07:30:03,-157.53627728341942,-349.70538983289475,37.66638825727349,15,2017-06-30 23:45:16
31,2017-07-01 07:45:05,-142.56637181932263,-343.9180752184044,47.254155401274694,24,2017-06-30 23:45:16
32,2017-07-01 08:00:09,-123.86948909093516,-312.676453033253,80.94418360329834,36,2017-06-30 23:45:16
33,2017-07-01 08:15:02,-102.04705698709456,-285.08080756255623,93.56051183846844,35,2017-06-30 23:45:16
34,2017-07-01 08:30:02,-77.16936045847334,-260.66668728735306,102.5505774147638,40,2017-06-30 23:45:16
35,2017-07-01 08:45:06,-49.94828985480372,-251.28809248249127,125.25920270751767,48,2017-06-30 23:45:16
36,2017-07-01 09:00:04,-21.52260660355546,-202.0886147746355,172.385677657033,66,2017-06-30 23:45:16
37,2017-07-01 09:15:05,7.448084236457461,-185.38088055589336,202.67110025707188,77,2017-06-30 23:45:16
38,2017-07-01 09:30:00,35.69645701779679,-161.12293088923832,222.69298113252535,108,2017-06-30 23:45:16
39,2017-07-01 09:45:00,62.60030830286274,-135.1457413705259,259.8503736322548,139,2017-06-30 23:45:16
40,2017-07-01 10:00:00,87.09732604728882,-106.32616341285004,282.34750269659173,174,2017-06-30 23:45:16
41,2017-07-01 10:15:00,108.41588185629703,-93.4305074317703,292.73833278388076,234,2017-06-30 23:45:16
42,2017-07-01 10:30:00,125.9654705691533,-66.20439870997406,324.2058722285056,208,2017-06-30 23:45:16
43,2017-07-01 10:45:00,139.37636965326772,-54.42256592313235,318.48411385969257,154,2017-06-30 23:45:16
44,2017-07-01 11:00:01,148.53328031605764,-31.613244173686354,354.6515924219064,207,2017-06-30 23:45:16
45,2017-07-01 11:15:00,153.54626172930807,-32.01484304489942,347.0288110549134,216,2017-06-30 23:45:16
46,2017-07-01 11:30:00,154.82231272803182,-12.764351342481431,335.6234108106213,278,2017-06-30 23:45:16
47,2017-07-01 11:45:00,152.9640889086778,-51.73530443805757,343.2319476919164,334,2017-06-30 23:45:16
48,2017-07-01 12:00:00,148.77083694252528,-42.52623025889781,345.2220183723317,268,2017-06-30 23:45:16
49,2017-07-01 12:15:00,143.17967209476998,-44.63524438712405,335.5711567260272,239,2017-06-30 23:45:16
50,2017-07-01 12:30:01,137.19872590716463,-47.52003847423962,334.10236737081107,206,2017-06-30 23:45:16
51,2017-07-01 12:45:00,131.8735297852702,-60.658757697066584,330.99578807252027,221,2017-06-30 23:45:16
52,2017-07-01 13:00:00,128.1551175485779,-68.71836069111194,303.1549453841941,220,2017-06-30 23:45:16
53,2017-07-01 13:15:00,126.90066049475323,-69.12012062505849,325.77727491979346,239,2017-06-30 23:45:16
54,2017-07-01 13:30:00,128.78449822915388,-55.31727908369585,325.4993304707191,391,2017-06-30 23:45:16
55,2017-07-01 13:45:00,134.25917540058373,-57.437720877286196,335.4821962980736,388,2017-06-30 23:45:16
56,2017-07-01 14:00:00,143.52426303564835,-37.826167960022346,329.9658746927376,292,2017-06-30 23:45:16
57,2017-07-01 14:15:00,156.5115559522194,-39.875146814900106,349.46427506347584,284,2017-06-30 23:45:16
58,2017-07-01 14:30:01,172.90757787940424,-12.092467318295018,365.51494685488143,244,2017-06-30 23:45:16
59,2017-07-01 14:45:00,192.07407874203363,7.667524358395996,380.00545235221625,271,2017-06-30 23:45:16
60,2017-07-01 15:00:00,213.28289011001186,31.346495622538725,398.77386052581437,453,2017-06-30 23:45:16
61,2017-07-01 15:15:00,235.56677296624878,53.620410480389864,429.29417888246616,394,2017-06-30 23:45:16
62,2017-07-01 15:30:00,257.87905328256977,71.17138497437264,440.4806997484658,365,2017-06-30 23:45:16
63,2017-07-01 15:45:00,279.1404753980341,91.18540781635033,459.9122227858704,460,2017-06-30 23:45:16
64,2017-07-01 16:00:00,298.3080935364546,100.52337088156266,487.2050901374063,319,2017-06-30 23:45:16
65,2017-07-01 16:15:00,314.4417781892952,117.82421658461335,496.7618851685157,264,2017-06-30 23:45:16
66,2017-07-01 16:30:01,326.77529365744243,142.49315033509876,508.5803540437729,262,2017-06-30 23:45:16
67,2017-07-01 16:45:00,334.70863154841567,147.12520893946612,512.9026874524897,295,2017-06-30 23:45:16
68,2017-07-01 17:00:02,337.95840089702295,165.23828406597346,528.3708552422166,383,2017-06-30 23:45:16
69,2017-07-01 17:15:00,336.4538022743804,154.15088674268023,523.4092458455126,457,2017-06-30 23:45:16
70,2017-07-01 17:30:00,330.4136881355349,150.06332716099828,523.573400286541,352,2017-06-30 23:45:16
71,2017-07-01 17:45:00,320.30010773248,125.45657123756044,514.7808982557376,183,2017-06-30 23:45:16
72,2017-07-01 18:00:00,306.79521414406645,118.57100074745813,517.6077419154021,228,2017-06-30 23:45:16
73,2017-07-01 18:15:01,290.7336550973408,98.11847837801704,475.12983897734944,211,2017-06-30 23:45:16
74,2017-07-01 18:30:00,273.1390534442822,79.01201794971362,460.7069630841668,410,2017-06-30 23:45:16
75,2017-07-01 18:45:00,254.96996283924813,59.1587253383407,460.8305131357674,622,2017-06-30 23:45:16
76,2017-07-01 19:00:00,237.24060947270215,44.68092040540819,437.85663408402786,438,2017-06-30 23:45:16
77,2017-07-01 19:15:01,220.84282302278848,37.16475804025034,408.4200307426346,386,2017-06-30 23:45:16
78,2017-07-01 19:30:00,206.59020546540282,38.22638901207066,402.85010142723354,333,2017-06-30 23:45:16
79,2017-07-01 19:45:00,194.996165122982,-7.033762570268803,387.7336934518117,329,2017-06-30 23:45:16
80,2017-07-01 20:00:00,186.40831292803054,-1.6514039796645683,376.545527547251,250,2017-06-30 23:45:16
81,2017-07-01 20:15:00,180.90135215211674,-13.239184275782359,365.93971603296666,238,2017-06-30 23:45:16
82,2017-07-01 20:30:00,178.29000459976683,-8.657605960976289,361.1976649032632,342,2017-06-30 23:45:16
83,2017-07-01 20:45:00,178.1421386672846,-13.029511126133135,374.999537084831,210,2017-06-30 23:45:16
84,2017-07-01 21:00:00,179.80831958350407,-6.156995304660661,350.9103917822813,182,2017-06-30 23:45:16
85,2017-07-01 21:15:00,182.4657624767056,-3.9870682655260747,375.0916248897384,210,2017-06-30 23:45:16
86,2017-07-01 21:30:00,185.17371986826132,-6.199493630898827,385.84978700542047,249,2017-06-30 23:45:16
87,2017-07-01 21:45:00,186.93658857296725,9.448608631761367,380.78320065673256,261,2017-06-30 23:45:16
88,2017-07-01 22:00:00,186.7705263171296,-10.80793831599408,378.8110210040906,233,2017-06-30 23:45:16
89,2017-07-01 22:15:01,183.7639452681867,-13.045323064212791,381.56255192900363,174,2017-06-30 23:45:16
90,2017-07-01 22:30:01,177.15445964973793,-16.430863832749324,361.10585627735185,209,2017-06-30 23:45:16
91,2017-07-01 22:45:00,166.3759113173746,-30.76045295209945,361.17251938573395,151,2017-06-30 23:45:16
92,2017-07-01 23:00:00,151.05345926804762,-33.339970310422956,348.52464686731804,133,2017-06-30 23:45:16
93,2017-07-01 23:15:01,131.07235123602902,-72.69002244864002,321.3792035851199,166,2017-06-30 23:45:16
94,2017-07-01 23:30:00,106.66617864738043,-103.43501825584266,309.7498953913268,144,2017-06-30 23:45:16
95,2017-07-01 23:45:01,78.13620100641172,-86.78125698966585,262.5235286992547,125,2017-06-30 23:45:16
96,2017-07-01 12:00:00,267.67003985894235,84.69858145658245,456.35910202137836,268,2017-07-01 11:45:16
97,2017-07-01 12:15:00,265.4701569818102,88.84148395267803,463.7475357538767,239,2017-07-01 11:45:16
