,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2017-07-01 00:15:00,5389.560213160267,2936.4899447046178,7979.656088756827,6016,2017-07-01 00:00:00
1,2017-07-01 00:30:00,4860.73348006811,2350.5440525326285,7355.297453462341,5447,2017-07-01 00:00:00
2,2017-07-01 00:45:00,4364.2815957913335,1876.4186013778913,7074.19737547162,4863,2017-07-01 00:00:00
3,2017-07-01 01:00:00,3907.1414457615074,1347.2126971246114,6553.375646526303,4473,2017-07-01 00:00:00
4,2017-07-01 01:15:00,3495.035903522405,771.6701017688896,6155.314393559489,3435,2017-07-01 00:00:00
5,2017-07-01 01:30:00,3132.250835450014,476.7986571744967,5841.808427492091,2561,2017-07-01 00:00:00
6,2017-07-01 01:45:00,2821.470352576561,123.13335605570985,5389.946976384233,1919,2017-07-01 00:00:00
7,2017-07-01 02:00:00,2563.681083512861,-109.25935791056745,5197.932845675634,1117,2017-07-01 00:00:00
8,2017-07-01 02:15:00,2358.152736140659,-238.37567959502908,4981.831653390835,573,2017-07-01 00:00:00
9,2017-07-01 02:30:00,2202.4981572740444,-377.53691081382726,4758.152940935656,333,2017-07-01 00:00:00
10,2017-07-01 02:45:00,2092.8117148017814,-532.8540326793521,4659.277377640603,259,2017-07-01 00:00:00
11,2017-07-01 03:00:00,2023.8804042671,-649.458250028462,4647.168619706566,189,2017-07-01 00:00:00
12,2017-07-01 03:15:00,1989.4578688024003,-734.5794511670165,4628.689351057905,148,2017-07-01 00:00:00
13,2017-07-01 03:30:00,1982.5878006283356,-784.3196115653325,4501.625431258792,141,2017-07-01 00:00:00
14,2017-07-01 03:45:00,1995.960192255463,-620.5680027066195,4643.44021006253,119,2017-07-01 00:00:00
15,2017-07-01 04:00:00,2022.2818281836826,-261.68139087063327,4621.638613175671,117,2017-07-01 00:00:00
16,2017-07-01 04:15:00,2054.641389023688,-706.4237135786301,4645.269104614469,99,2017-07-01 00:00:00
17,2017-07-01 04:30:00,2086.8496633426375,-379.0532270699986,4552.32376004513,104,2017-07-01 00:00:00
18,2017-07-01 04:45:00,2113.7366259466726,-582.1190516559723,4911.7640286496635,108,2017-07-01 00:00:00
19,2017-07-01 05:00:00,2131.3894886637477,-565.9759075307878,4773.882875258581,109,2017-07-01 00:00:00
20,2017-07-01 05:15:00,2137.3191200567585,-370.11873775788143,4758.773827495148,109,2017-07-01 00:00:00
21,2017-07-01 05:30:00,2130.546276939561,-450.05296027501873,4809.3728385706145,119,2017-07-01 00:00:00
22,2017-07-01 05:45:00,2111.6036490657098,-560.59004286779,4634.338840387737,154,2017-07-01 00:00:00
23,2017-07-01 06:00:00,2082.4545158345045,-411.84626060833114,4841.957550726089,155,2017-07-01 00:00:00
24,2017-07-01 06:15:01,2046.2910559664524,-462.050397566947,4716.361742334282,163,2017-07-01 00:00:00
25,2017-07-01 06:30:01,2007.4770043022,-653.3457523960327,4497.526642519269,169,2017-07-01 00:00:00
26,2017-07-01 06:45:00,1971.05543415812,-598.7844310187012,4305.497731250972,197,2017-07-01 00:00:00
27,2017-07-01 07:00:00,1942.4271810611235,-724.3269331868221,4537.022352469858,224,2017-07-01 00:00:00
28,2017-07-01 07:15:00,1927.2291294928064,-536.4727247756861,4588.999145877371,238,2017-07-01 00:00:00
29,2017-07-01 07:30:00,1930.8262988443303,-570.0228943871921,4481.960884901078,298,2017-07-01 00:00:00
30,2017-07-01 07:45:00,1958.038348851438,-730.9472596343516,4347.73918534151,349,2017-07-01 00:00:00
31,2017-07-01 08:00:00,2012.8611196326356,-517.9719128324901,4542.820260795249,452,2017-07-01 00:00:00
32,2017-07-01 08:15:00,2098.2412687075084,-569.9499504079745,4590.682252113872,539,2017-07-01 00:00:00
33,2017-07-01 08:30:00,2215.915884386222,-509.23487871164184,4660.809240056381,642,2017-07-01 00:00:00
34,2017-07-01 08:45:00,2366.32491879911,-153.94159625313915,5033.6766249070915,733,2017-07-01 00:00:00
35,2017-07-01 09:00:00,2548.599844879725,-79.33949773959962,5130.057896105388,888,2017-07-01 00:00:00
36,2017-07-01 09:15:00,2760.627373745091,112.56942343883917,5305.835691060741,998,2017-07-01 00:00:00
37,2017-07-01 09:30:00,2999.1826590368605,288.899081759218,5632.628284299517,1238,2017-07-01 00:00:00
38,2017-07-01 09:45:00,3260.1224274546976,770.8476862891395,5916.733552234055,1624,2017-07-01 00:00:00
39,2017-07-01 10:00:00,3538.6251470370194,869.1483725027015,6113.355854148372,1992,2017-07-01 00:00:00
40,2017-07-01 10:15:00,3829.462877846253,1220.1881441433193,6522.199139945899,2378,2017-07-01 00:00:00
41,2017-07-01 10:30:00,4127.287966700442,1415.4424328964171,6772.800431569607,2743,2017-07-01 00:00:00
42,2017-07-01 10:45:00,4426.917329134194,1831.8829460678276,6900.437634738738,3191,2017-07-01 00:00:00
43,2017-07-01 11:00:00,4723.597710243622,2025.9595429493986,7432.857395976013,3628,2017-07-01 00:00:00
44,2017-07-01 11:15:00,5013.23695520809,2115.739571435336,7483.914222860374,4146,2017-07-01 00:00:00
45,2017-07-01 11:30:00,5292.588838165764,2606.396654693601,8077.088234005035,5011,2017-07-01 00:00:00
46,2017-07-01 11:45:00,5559.382202135438,3008.3782944434347,8114.939405518551,5917,2017-07-01 00:00:00
47,2017-07-01 12:00:00,5812.388837424171,3167.9443988091057,8444.58669717747,6536,2017-07-01 00:00:00
48,2017-07-01 12:15:00,6051.428421702922,3313.8759659201946,8612.104809375893,7034,2017-07-01 00:00:00
49,2017-07-01 12:30:00,6277.312716155367,3566.882259770376,8615.97894746925,7087,2017-07-01 00:00:00
50,2017-07-01 12:45:00,6491.734797095959,3815.1887352078584,8870.16829646131,7289,2017-07-01 00:00:00
51,2017-07-01 13:00:00,6697.112196511729,4120.408330113259,9287.509599463978,7664,2017-07-01 00:00:00
52,2017-07-01 13:15:00,6896.395234050963,4275.079366061612,9624.66008145263,8203,2017-07-01 00:00:00
53,2017-07-01 13:30:00,7092.8534174114775,4416.445563693338,9828.628589749696,8538,2017-07-01 00:00:00
54,2017-07-01 13:45:00,7289.853493004559,4563.814511357114,9971.302402073012,8467,2017-07-01 00:00:00
55,2017-07-01 14:00:00,7490.642533496079,4719.054888816365,10004.130983889545,8550,2017-07-01 00:00:00
56,2017-07-01 14:15:00,7698.148392141257,5040.899963496095,10492.431867155148,8217,2017-07-01 00:00:00
57,2017-07-01 14:30:00,7914.808052152457,5225.927306513089,10717.860119036264,7956,2017-07-01 00:00:00
58,2017-07-01 14:45:00,8142.4319934140585,5636.202624853764,10818.496460518676,8702,2017-07-01 00:00:00
59,2017-07-01 15:00:00,8382.109887390438,5640.136224094206,11012.217719904525,9406,2017-07-01 00:00:00
60,2017-07-01 15:15:00,8634.159910224678,6024.151748134304,11222.875197299549,8407,2017-07-01 00:00:00
61,2017-07-01 15:30:00,8898.120978675877,6104.352504753951,11458.559032730946,8386,2017-07-01 00:00:00
62,2017-07-01 15:45:00,9172.784437511877,6553.246434455369,11736.004308244532,8573,2017-07-01 00:00:00
63,2017-07-01 16:00:00,9456.259384415014,6758.665059811372,12045.050777972896,8573,2017-07-01 00:00:00
64,2017-07-01 16:15:00,9746.064034278537,7218.4542733272365,12447.396418444689,8863,2017-07-01 00:00:00
65,2017-07-01 16:30:00,10039.234422164693,7533.74875028185,12751.90064474298,9267,2017-07-01 00:00:00
66,2017-07-01 16:45:00,10332.441359482717,7714.573407727699,13066.328102456118,9554,2017-07-01 00:00:00
67,2017-07-01 17:00:00,10622.106916543187,8002.270853210674,13146.812204251288,10354,2017-07-01 00:00:00
68,2017-07-01 17:15:00,10904.512713923881,8370.447440812859,13457.968459178797,11766,2017-07-01 00:00:00
69,2017-07-01 17:30:00,11175.893894321547,8457.514114864895,13737.560421021968,11683,2017-07-01 00:00:00
70,2017-07-01 17:45:00,11432.514647944841,8844.907342638971,14199.750779370122,10676,2017-07-01 00:00:00
71,2017-07-01 18:00:00,11670.723411312607,9023.644022135994,14228.827406824572,10541,2017-07-01 00:00:00
72,2017-07-01 18:15:00,11886.988154002182,9316.78552412898,14499.852688283874,10445,2017-07-01 00:00:00
73,2017-07-01 18:30:00,12077.914331947095,9515.884723944544,14667.271304003054,12126,2017-07-01 00:00:00
74,2017-07-01 18:45:00,12240.24991622847,9525.068523417696,14857.068315053988,11015,2017-07-01 00:00:00
75,2017-07-01 19:00:00,12370.883274528234,9792.21758779624,15009.623332314015,9659,2017-07-01 00:00:00
76,2017-07-01 19:15:00,12466.840456352958,9805.62622334191,15019.09644454381,9294,2017-07-01 00:00:00
77,2017-07-01 19:30:00,12525.288553414379,9927.68133539689,15063.562070667016,9230,2017-07-01 00:00:00
78,2017-07-01 19:45:00,12543.551252634985,9974.62744854094,15135.070327746746,9244,2017-07-01 00:00:00
79,2017-07-01 20:00:00,12519.141515018086,9990.998348139081,15093.743517743907,9070,2017-07-01 00:00:00
80,2017-07-01 20:15:00,12449.814579374772,9716.336020856132,15194.011533126682,8496,2017-07-01 00:00:00
81,2017-07-01 20:30:00,12333.642347908859,9584.39662190144,14921.533379566883,8099,2017-07-01 00:00:00
82,2017-07-01 20:45:00,12169.107824355273,9450.779353345293,14812.782380032415,7685,2017-07-01 00:00:00
83,2017-07-01 21:00:00,11955.215836528943,9552.687344155838,14628.579633610105,7304,2017-07-01 00:00:00
84,2017-07-01 21:15:00,11691.61399121207,8922.55553344104,14361.831180616246,7155,2017-07-01 00:00:00
85,2017-07-01 21:30:00,11378.715860996856,8648.847259912502,13954.81860234985,7974,2017-07-01 00:00:00
86,2017-07-01 21:45:00,11017.816981468808,8193.628136023375,13695.201148021528,7174,2017-07-01 00:00:00
87,2017-07-01 22:00:00,10611.193467903382,7828.087007143078,13024.208564470147,6572,2017-07-01 00:00:00
88,2017-07-01 22:15:00,10162.17304405164,7442.405831171267,12647.15180612571,6469,2017-07-01 00:00:00
89,2017-07-01 22:30:00,9675.169054892976,7032.1970980165315,12326.780449979073,6306,2017-07-01 00:00:00
90,2017-07-01 22:45:00,9155.66959383602,6397.681620051918,11731.053727032875,5866,2017-07-01 00:00:00
91,2017-07-01 23:00:00,8610.176131844255,5993.36083727701,11366.038626813544,5496,2017-07-01 00:00:00
92,2017-07-01 23:15:00,8046.0888766737135,5248.784045159369,10801.15603686208,5163,2017-07-01 00:00:00
93,2017-07-01 23:30:00,7471.539334470089,4692.60094354875,10043.869313558058,4831,2017-07-01 00:00:00
94,2017-07-01 23:45:00,6895.173978352686,4239.0855226679405,9668.472062442253,4795,2017-07-01 00:00:00
95,2017-07-02 00:00:00,6325.896334735148,3749.75560795937,9216.459658305173,4595,2017-07-01 00:00:00
96,2017-07-01 12:15:00,5395.9069274087315,2791.0690737477744,7819.7080490662065,7034,2017-07-01 12:00:00
